"","symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"133","APLNR","187","apelin receptor",12.7531278270713,5.27263769477401e-05,0.0405934517634323,1.65178591743534,0.675571853235603
"228","AIRE","326","autoimmune regulator",9.56457699179496,0.000211548416411901,0.0434642113650805,3.91032533873528,1.90373195828185
"314","ASGR2","433","asialoglycoprotein receptor 2",10.1651127585812,0.000158027687945115,0.0421691913738363,1.64704287022439,0.652822642773408
"447","BMP3","651","bone morphogenetic protein 3",10.7810017446663,0.000119065282021674,0.0421691913738363,1.42680982509497,0.616682705500583
"560","CALCR","799","calcitonin receptor",8.30326845113297,0.000413836953232349,0.0457575997172386,1.24851554993815,0.665731674297877
"675","ENTPD1","953","ectonucleoside triphosphate diphosphohydrolase 1",11.4203001859538,9.01332123753159e-05,0.0421691913738363,0.357613863325423,0.152758168189825
"682","CD44","960","CD44 molecule (Indian blood group)",10.6022429131946,0.000129058285415184,0.0421691913738363,0.99032747642795,0.420673113268412
"824","CIDEA","1149","cell death-inducing DFFA-like effector a",9.78768182213181,0.000189460722803908,0.0423475273647831,0.627480558831029,0.256442985766191
"978","CRHBP","1393","corticotropin releasing hormone binding protein",8.6869695712954,0.000334346693538032,0.0456614741862875,0.893115380705105,0.436133952830113
"1006","CRYZ","1429","crystallin, zeta (quinone reductase)",11.206357089026,9.87699904170572e-05,0.0421691913738363,1.2635787488368,0.490843172934305
"1021","CSN1S1","1446","casein alpha s1",13.8923358228558,3.47228087317436e-05,0.0365785327764813,8.45653413386213,2.78221300125678
"1121","CYP26A1","1592","cytochrome P450, family 26, subfamily A, polypeptide 1",8.31833736637662,0.000410317779274839,0.0456614741862875,0.988732891411676,0.504285958043708
"1510","FABP6","2172","fatty acid binding protein 6, ileal",13.721247347041,3.6892087407247e-05,0.0365785327764813,2.05299663766164,0.691204252287651
"1553","FDPS","2224","farnesyl diphosphate synthase",9.39075881574269,0.000230904243010648,0.0434642113650805,0.755889799342009,0.339126054842882
"1628","FMO2","2327","flavin containing monooxygenase 2 (non-functional)",9.46068089279034,0.000222874472482312,0.0434642113650805,1.07004460852455,0.555495245670186
"1773","GEM","2669","GTP binding protein overexpressed in skeletal muscle",15.2729294251991,2.18246914184414e-05,0.0362515626205945,1.35610223498921,0.431358139815857
"1774","GFAP","2670","glial fibrillary acidic protein",10.5771138134669,0.000130541912353352,0.0421691913738363,0.96070951591827,0.440221593602946
